;id;X_age;X_bonus_malus_rating;X_distr_channel;X_vehicle_type;X_ttm_claims;X_policy_count;X_risk_code;X_vehicle_age;X_policy_tenure;X_policy_premium;U;prob_acceptance;Z
8385;30504;60.0;45.0;8;1;0;1;5;19.0;22.0;252.33;1.0944001902270835;0.867066040635109;0
8424;30663;56.0;45.0;4;1;0;2;0;18.0;22.0;189.72;1.0398481973434535;0.9697832241654396;1
8427;30670;73.0;45.0;5;1;0;4;0;24.0;22.0;147.93;1.0398837287906442;0.9812976829707623;1
8433;30677;67.0;45.0;2;1;0;2;0;28.0;22.0;161.42;1.0443563375046465;0.952452763915062;1
8446;30698;65.0;45.0;7;6;0;4;0;22.0;22.0;313.29;1.0307063742858056;0.9219036772847176;1
8482;30847;48.0;45.0;5;1;1;1;0;17.0;22.0;132.66;1.0986733001658375;0.9389074221253395;0
8509;30902;52.0;45.0;5;2;0;2;0;18.0;22.0;182.39;1.0941937606228411;0.9146131798624992;1
8516;30909;68.0;45.0;0;1;0;3;0;22.0;22.0;226.56;1.0943237994350283;0.840094804763794;0
8540;30987;59.0;45.0;5;7;0;4;0;17.0;22.0;209.03;1.1240970195665694;0.9471660703420639;1
8543;31008;75.0;45.0;4;1;0;1;5;31.0;22.0;198.42;1.0448039512145955;0.939212866127491;1
8556;31029;76.0;45.0;7;2;0;3;0;18.0;22.0;246.23;1.0842301912845715;0.9252137616276741;1
8615;31228;61.0;45.0;5;1;0;1;0;14.0;22.0;161.9404;1.1069504583167633;0.9257591590285301;1
8620;31264;53.0;47.5;7;1;0;1;0;21.0;22.0;179.95;1.0399555432064462;0.9389891028404236;1
8627;31278;56.0;45.0;5;5;0;2;0;30.0;22.0;181.65;1.0303881090008256;0.9606297798454762;1
8634;31293;55.0;45.0;4;3;0;2;5;24.0;22.0;244.52;1.1093571078030426;0.8951777741312981;1
8675;31376;49.0;45.0;2;7;0;1;0;31.0;22.0;177.64;1.0842715604593562;0.8446647077798843;1
