;id;X_age;X_bonus_malus_rating;X_distr_channel;X_vehicle_type;X_ttm_claims;X_policy_count;X_risk_code;X_vehicle_age;X_policy_tenure;Y;U;Y_hat
3286400;5487912;60.0;45.0;7;2;0;2;0;13.0;0.0;170.3973;1.0357558482440743;186.45362854003906
3286401;5487913;61.0;100.0;8;2;0;1;0;15.0;0.0;234.9205;1.097477657335141;279.7716979980469
3286403;5487915;35.0;50.0;3;1;0;2;0;18.0;0.0;162.3693;1.084872571354314;151.0591583251953
3286404;5487916;38.0;45.0;2;1;0;1;3;15.0;0.0;173.8179;1.0970676783001059;164.8197479248047
3286405;5487917;54.0;47.5;8;0;0;1;0;7.0;0.0;331.6654;1.0827478537103963;152.9987335205078
3286406;5487918;56.0;47.5;2;2;0;6;0;17.0;0.0;129.2699;1.0936807408375808;173.2845001220703
3286410;5487924;70.0;45.0;5;2;0;2;4;9.0;0.0;151.8182;1.0971016650177647;212.31417846679688
3286411;5487926;63.0;55.0;8;2;0;1;0;25.0;0.0;144.1691;1.0869874335069027;178.0302276611328
3286413;5487928;27.0;77.5;7;2;2;1;0;17.0;0.0;250.7671;1.1121873642914082;275.6950378417969
3286414;5487929;54.0;60.0;9;1;1;1;2;17.0;0.0;199.7668;1.0971793110767156;200.65670776367188
3286415;5487930;55.0;45.0;6;1;0;1;0;16.0;0.0;146.8318;1.086821792009633;157.45777893066406
3286420;5487938;52.0;72.5;8;2;0;1;0;14.0;0.0;209.6098;1.0973246479887866;230.99351501464844
3286423;5487941;65.0;45.0;8;6;0;2;0;19.0;0.0;174.1869;1.1071441078519682;178.49403381347656
3286425;5487943;32.0;50.0;8;1;0;1;5;13.0;0.0;217.6578;1.0771954875956662;197.49185180664062
3286426;5487944;31.0;100.0;8;1;0;1;1;24.0;0.0;309.915;1.0533856057306035;285.0762023925781
3286429;5487950;57.0;45.0;4;1;0;2;0;28.0;0.0;175.6728;1.0971533441716648;134.814453125
3286431;5487954;40.0;72.5;1;1;1;2;0;18.0;0.0;143.481;1.1135272266014318;198.8475341796875
3286436;5487961;41.0;67.5;2;2;1;2;0;19.0;0.0;260.6699;1.0522120122039407;212.53317260742188
3286438;5487966;51.0;65.0;2;5;0;4;0;12.0;0.0;164.663;1.1216241657202892;211.87716674804688
3286440;5487970;36.0;45.0;7;3;0;4;0;30.0;0.0;117.8313;1.0967374543096782;167.1341094970703
3286445;5487979;31.0;50.0;3;2;0;1;2;13.0;0.0;235.0003;1.1114879427813495;230.59669494628906
3286452;5487994;26.0;100.0;10;1;1;1;0;16.0;0.0;248.8124;1.0476969797325215;277.19378662109375
3286454;5487997;23.0;75.0;11;5;0;1;0;20.0;0.0;325.1832;1.0707195205656381;312.3692321777344
3286455;5487998;69.0;62.5;2;3;0;1;0;15.0;0.0;214.9253;1.0725586983012239;220.41087341308594
3286457;5488002;54.0;45.0;11;1;0;2;0;8.0;0.0;160.654;1.087118901490159;167.5928955078125
3286458;5488003;53.0;47.5;8;3;0;2;0;26.0;0.0;208.7622;1.0972292876775585;184.7815704345703
3286459;5488005;66.0;100.0;0;3;0;2;0;21.0;0.0;323.2884;1.0776136724979923;280.52545166015625
3286461;5488011;55.0;47.5;0;6;0;2;0;20.0;0.0;277.6172;1.0752575849046815;175.45977783203125
3286463;5488015;45.0;47.5;8;1;0;1;0;13.0;0.0;144.8373;1.1071043163604954;164.34605407714844
3286464;5488017;34.0;47.5;5;1;0;3;0;18.0;0.0;165.0619;1.112067654619267;144.9047088623047
3286465;5488019;55.0;55.0;2;0;0;1;0;5.0;0.0;298.2171;1.1275678021146338;153.41831970214844
3286467;5488021;53.0;45.0;5;3;0;2;0;10.0;0.0;230.5624;1.0873412143523835;196.0430908203125
3286468;5488023;76.0;45.0;2;2;0;3;0;31.0;0.0;116.0761;1.0332014945367738;158.3795928955078
3286469;5488025;29.0;55.0;7;2;0;1;0;10.0;0.0;253.6492;1.1224557380823592;215.6229705810547
3286476;5488034;44.0;50.0;6;2;0;2;0;7.0;0.0;398.5622;1.0745876051466998;199.32093811035156
3286478;5488038;37.0;50.0;8;1;0;1;5;13.0;0.0;196.0669;1.060250353323279;195.5306854248047
3286479;5488039;59.0;55.0;7;0;0;2;0;9.0;0.0;168.9911;1.061535193273492;153.09364318847656
3286481;5488041;49.0;77.5;8;6;1;1;0;23.0;0.0;278.8102;1.0875857482975875;243.86061096191406
3286486;5488050;29.0;65.0;8;1;0;1;0;4.0;0.0;421.0007;1.1225872070996556;190.4151611328125
3286493;5488061;71.0;45.0;5;1;0;3;0;25.0;0.0;148.238;1.0748256182625238;138.9049835205078
3286495;5488065;66.0;45.0;2;0;0;1;0;21.0;0.0;124.2175;1.0381790005434017;134.508544921875
3286496;5488066;35.0;45.0;8;2;0;1;0;14.0;0.0;159.2279;1.1119282487554003;184.935791015625
3286497;5488067;58.0;65.0;10;1;0;1;0;10.0;0.0;221.956;1.1320712213231452;187.1974334716797
3286511;5488099;40.0;45.0;10;0;0;1;0;4.0;0.0;165.5505;1.1116849541378613;160.29891967773438
3286513;5488102;58.0;50.0;10;1;1;2;0;18.0;0.0;152.2869;1.0838752381196282;150.96478271484375
3286514;5488104;54.0;47.5;8;3;1;1;0;23.0;0.0;194.2818;1.0869777817582502;192.3765106201172
3286517;5488111;54.0;45.0;2;6;0;4;0;6.0;0.0;209.1611;1.10723265463798;189.48556518554688
3286519;5488113;52.0;47.5;8;2;0;1;0;24.0;0.0;233.2052;1.086853980957543;172.85000610351562
3286522;5488119;38.0;45.0;8;2;0;1;0;12.0;0.0;218.7249;1.1172024767184716;190.06365966796875
3286523;5488120;38.0;45.0;8;1;0;1;0;14.0;0.0;183.0825;1.1353351631095272;155.29783630371094
3286524;5488121;51.0;62.5;5;1;0;3;0;8.0;0.0;160.1653;1.0923714437521737;180.83778381347656
3286525;5488122;42.0;82.5;7;2;0;1;5;12.0;0.0;296.771;1.117460937894875;316.83251953125
3286526;5488123;48.0;47.5;5;1;0;3;0;19.0;0.0;182.8531;1.042640239624048;146.4774932861328
3286533;5488130;48.0;45.0;8;2;0;2;0;15.0;0.0;198.3607;1.0521237321707373;181.64125061035156
3286535;5488133;44.0;45.0;2;2;0;3;0;14.0;0.0;159.1381;1.0967832341846484;177.8369598388672
3286536;5488135;41.0;47.5;3;1;0;1;1;11.0;0.0;187.0961;1.1021074196629432;200.60858154296875
3286537;5488136;32.0;77.5;8;0;0;1;2;10.0;0.0;217.3885;1.1154223889488175;230.9906463623047
3286540;5488142;45.0;47.5;10;1;0;1;0;26.0;0.0;148.8363;1.0969770143439472;135.98672485351562
3286541;5488145;56.0;57.5;8;4;0;2;0;25.0;0.0;170.3474;1.097991516160505;207.9564666748047
3286553;5488171;53.0;100.0;1;1;0;6;0;4.0;0.0;236.7654;1.1119868021256483;239.0774383544922
3286554;5488172;59.0;47.5;1;1;0;2;0;15.0;0.0;183.8704;1.097185843942255;151.7739715576172
3286558;5488179;66.0;60.0;4;2;1;2;0;17.0;0.0;243.6266;1.130828899635754;202.0546875
3286560;5488181;54.0;47.5;1;1;0;1;3;14.0;0.0;186.7225;1.096975458233475;167.0704803466797
3286565;5488189;39.0;47.5;2;1;0;2;0;8.0;0.0;132.7803;1.111685995588201;165.44229125976562
3286569;5488194;64.0;47.5;9;0;0;1;0;12.0;0.0;130.4866;1.106627040630992;138.98353576660156
3286573;5488200;28.0;50.0;1;2;0;1;0;16.0;0.0;164.5832;1.1016920317505066;199.13931274414062
3286575;5488204;41.0;47.5;0;2;0;1;3;21.0;0.0;205.7793;1.0949595027293804;187.8446807861328
3286578;5488210;95.0;60.0;8;1;0;1;0;22.0;0.0;199.3217;1.0665672628720306;177.23211669921875
3286579;5488211;47.0;45.0;5;1;0;2;0;25.0;0.0;146.3531;1.1068436541487676;139.904541015625
3286584;5488217;75.0;45.0;5;0;1;1;0;16.0;0.0;127.3552;1.042674347023129;138.68984985351562
3286591;5488227;21.0;77.5;7;2;0;3;0;12.0;0.0;408.0761;1.0974913747705393;365.4779357910156
3286592;5488233;28.0;57.5;2;2;0;1;0;18.0;0.0;165.7101;1.126666389073448;203.90341186523438
3286595;5488238;20.0;77.5;2;1;1;2;0;29.0;0.0;268.1195;1.0694858076342824;309.87109375
3286598;5488243;68.0;45.0;1;2;0;1;0;14.0;0.0;222.9932;1.0885982173447442;178.10018920898438
